Department,Year,Semester,CGPA,Attendance,Club,CareerGoal,Hosteller,Scholarship
EE,2,3,9.36,90,Photography Club,Pilot,Yes,Merit
IIOT,4,8,9.41,95,Coding Club,Software Engineer,No,SC
DS,2,3,9.21,71,Photography Club,AI Engineer,No,OBC
RE,3,6,5.95,65,Photography Club,Data Scientist,Yes,EWS
ETC,4,7,8.46,68,Robotics Club,Professor,No,EWS
AI/ML,1,2,8.09,69,Photography Club,AI Engineer,Yes,OBC
AI/ML,1,2,9.23,95,Music Club,Professor,No,
AE,1,1,6.92,69,NSS,Pilot,No,OBC
EE,3,5,9.44,67,Photography Club,Research Scientist,Yes,SC
ME,3,6,6.42,60,NCC,Data Scientist,Yes,OBC
DS,2,4,8.21,98,Robotics Club,Software Engineer,No,SC
AI/ML,1,1,9.37,65,NCC,Data Scientist,No,OBC
AE,3,6,8.45,82,NCC,Robotics Engineer,Yes,EWS
EC,4,8,9.08,75,Drama Club,Data Scientist,Yes,EWS
EC,1,1,6.79,78,Photography Club,Professor,No,Merit
IIOT,2,4,6.18,79,Sports Club,Robotics Engineer,Yes,OBC
CS,3,5,8.8,87,Music Club,Data Scientist,Yes,
CE,1,2,9.07,90,NSS,Robotics Engineer,Yes,EWS
AE,1,1,9.15,67,Music Club,Robotics Engineer,No,
CS,4,8,8.31,67,Coding Club,Robotics Engineer,Yes,Merit
ME,3,6,9.58,65,NSS,Professor,Yes,
ME,3,5,5.77,86,Coding Club,Entrepreneur,Yes,Merit
CS,4,8,8.43,69,Music Club,Professor,No,
CS,2,3,7.11,96,NCC,Entrepreneur,No,Merit
CE,3,6,8.93,79,Photography Club,Pilot,Yes,ST
AI/ML,3,6,6.65,91,NSS,Data Scientist,Yes,SC
CE,2,4,5.53,71,Photography Club,Professor,No,SC
EE,2,3,8.3,67,NCC,Entrepreneur,No,Merit
IIOT,1,2,6.5,70,Sports Club,Entrepreneur,Yes,OBC
CS,1,1,8.98,89,Drama Club,Entrepreneur,Yes,OBC
CT,1,2,7.32,74,Sports Club,AI Engineer,No,OBC
IIOT,3,5,5.55,74,NSS,Data Scientist,No,OBC
CT,2,3,7.24,82,NSS,Professor,No,EWS
CE,1,1,7.14,77,NSS,Entrepreneur,No,SC
AE,1,1,6.15,84,Music Club,Data Scientist,No,ST
CE,2,3,8.49,62,Robotics Club,Entrepreneur,No,Merit
CT,3,5,8.85,71,Music Club,Robotics Engineer,Yes,SC
ETC,3,6,8.11,78,Coding Club,Entrepreneur,Yes,
ETC,2,4,7.19,69,Sports Club,Robotics Engineer,No,OBC
EC,3,6,7.08,61,Photography Club,Research Scientist,No,OBC
EE,4,7,6.4,60,Music Club,Software Engineer,No,Merit
RE,4,8,7.08,68,NCC,Professor,Yes,EWS
DS,4,8,9.38,68,NSS,Professor,Yes,
EC,4,8,9.48,73,NCC,Data Scientist,Yes,
ME,4,7,8.05,94,Coding Club,Software Engineer,No,Merit
ETC,3,6,8.65,78,Music Club,Pilot,No,SC
EE,4,8,7.31,60,NSS,Software Engineer,Yes,SC
IIOT,4,8,8.82,94,Photography Club,AI Engineer,No,Merit
CT,2,4,9.02,94,Drama Club,AI Engineer,Yes,EWS
EC,3,6,7.99,68,NSS,Software Engineer,No,
IIOT,3,5,8.95,64,Drama Club,Pilot,Yes,Merit
AE,3,6,9.76,63,Photography Club,AI Engineer,Yes,Merit
AI/ML,4,8,5.79,68,NCC,Data Scientist,No,OBC
CS,3,5,8.29,73,Robotics Club,Entrepreneur,Yes,EWS
ETC,1,1,6.76,84,NSS,AI Engineer,No,EWS
RE,3,5,6.25,78,Sports Club,Robotics Engineer,Yes,
IT,1,1,8.95,79,Coding Club,AI Engineer,Yes,
CT,3,5,6.75,76,Drama Club,Professor,Yes,
DS,1,1,7.57,62,Coding Club,Robotics Engineer,No,SC
EC,4,8,7.61,95,Coding Club,Entrepreneur,Yes,
CS,4,7,8.36,95,Music Club,Professor,No,ST
CT,3,6,6.87,83,NSS,Robotics Engineer,No,ST
CE,3,5,9.57,76,Sports Club,AI Engineer,Yes,ST
RE,3,5,5.59,73,Music Club,Research Scientist,No,EWS
DS,3,5,8.8,92,Drama Club,Entrepreneur,No,ST
RE,3,6,8.95,85,Coding Club,AI Engineer,No,ST
AE,2,3,5.92,94,NSS,Data Scientist,Yes,EWS
CE,4,7,8.48,60,Sports Club,AI Engineer,No,SC
EE,1,1,8.78,94,NCC,Pilot,Yes,SC
EC,3,5,9.04,93,Robotics Club,Research Scientist,No,EWS
ME,2,3,9.31,88,Music Club,Robotics Engineer,No,OBC
AI/ML,1,1,6.08,70,Sports Club,Professor,No,Merit
ETC,1,1,5.76,91,Sports Club,Entrepreneur,No,
IT,3,6,9.18,74,Photography Club,Robotics Engineer,Yes,ST
AI/ML,2,3,6.01,63,NCC,Data Scientist,No,OBC
ME,1,2,9.04,92,NCC,Pilot,Yes,SC
CT,1,1,8.45,88,Photography Club,Entrepreneur,No,Merit
IT,1,2,5.99,66,Robotics Club,AI Engineer,No,
AE,3,5,5.57,66,Photography Club,Entrepreneur,Yes,ST
AE,3,6,5.74,65,Robotics Club,Entrepreneur,Yes,Merit
AI/ML,2,3,5.9,64,NSS,AI Engineer,Yes,SC
CT,4,7,7.76,93,Robotics Club,AI Engineer,Yes,ST
ETC,3,6,8.66,64,Coding Club,Data Scientist,Yes,
IIOT,1,2,5.93,89,NCC,Research Scientist,No,OBC
EC,1,2,8.83,97,NCC,Professor,Yes,
ME,3,5,8.66,75,Sports Club,Software Engineer,Yes,Merit
ME,4,7,9.49,84,Photography Club,AI Engineer,Yes,OBC
CT,3,5,8.08,90,Photography Club,Pilot,Yes,EWS
AE,3,6,6.66,76,Robotics Club,Data Scientist,No,Merit
RE,2,3,6.94,81,Sports Club,Research Scientist,Yes,ST
IIOT,2,4,7.0,72,NCC,Research Scientist,Yes,OBC
CE,2,4,8.75,82,Photography Club,Pilot,No,Merit
CT,4,7,8.51,66,NCC,Software Engineer,No,
DS,4,7,5.88,99,Drama Club,Data Scientist,Yes,OBC
CE,4,7,6.94,94,NSS,Data Scientist,No,OBC
RE,1,2,5.99,66,NSS,Software Engineer,No,
CS,3,5,6.69,81,Photography Club,Entrepreneur,No,OBC
DS,2,4,7.06,87,Coding Club,AI Engineer,No,OBC
ETC,3,6,7.81,79,NCC,Research Scientist,Yes,ST
RE,3,6,9.06,99,Photography Club,Software Engineer,No,OBC
AE,4,8,9.69,61,Robotics Club,Entrepreneur,No,ST
ME,3,6,8.94,64,Sports Club,Research Scientist,No,SC
AE,1,2,7.68,80,Sports Club,Professor,Yes,Merit
EC,1,1,5.82,71,Coding Club,AI Engineer,Yes,
ETC,3,5,7.89,90,Music Club,Data Scientist,Yes,SC
DS,1,2,5.64,94,Drama Club,Professor,Yes,ST
EE,2,3,8.79,74,Photography Club,Entrepreneur,Yes,EWS
